trafficway_identifier,hour,num_accidents
I-10,0,11
I-10,1,21
I-10,2,14
I-10,3,12
I-10,4,13
I-10,5,14
I-10,6,11
I-10,7,10
I-10,8,8
I-10,9,5
I-10,10,7
I-10,11,6
I-10,12,13
I-10,13,12
I-10,14,11
I-10,15,18
I-10,16,9
I-10,17,15
I-10,18,10
I-10,19,10
I-10,20,13
I-10,21,11
I-10,22,11
I-10,23,9
I-15,0,10
I-15,1,1
I-15,2,6
I-15,3,6
I-15,4,6
I-15,5,2
I-15,6,5
I-15,7,2
I-15,8,3
I-15,9,6
I-15,10,2
I-15,11,2
I-15,12,2
I-15,13,3
I-15,14,6
I-15,15,5
I-15,16,4
I-15,17,5
I-15,18,4
I-15,19,6
I-15,20,2
I-15,21,7
I-15,22,7
I-15,23,5
I-20,0,8
I-20,1,5
I-20,2,5
I-20,3,4
I-20,4,6
I-20,5,6
I-20,6,4
I-20,7,6
I-20,8,4
I-20,9,2
I-20,10,5
I-20,11,5
I-20,12,5
I-20,13,8
I-20,14,4
I-20,15,9
I-20,16,5
I-20,17,8
I-20,18,7
I-20,19,1
I-20,20,7
I-20,21,8
I-20,22,13
I-20,23,6
I-40,0,11
I-40,1,6
I-40,2,5
I-40,3,9
I-40,4,5
I-40,5,3
I-40,6,7
I-40,7,6
I-40,8,5
I-40,9,6
I-40,10,3
I-40,11,7
I-40,12,3
I-40,13,7
I-40,14,13
I-40,15,7
I-40,16,10
I-40,17,6
I-40,18,11
I-40,19,6
I-40,20,4
I-40,21,6
I-40,22,6
I-40,23,7
I-5,0,10
I-5,1,2
I-5,2,11
I-5,3,11
I-5,4,8
I-5,5,8
I-5,6,7
I-5,7,6
I-5,8,6
I-5,9,4
I-5,10,5
I-5,11,3
I-5,12,4
I-5,13,8
I-5,14,5
I-5,15,7
I-5,16,7
I-5,17,3
I-5,18,7
I-5,19,5
I-5,20,7
I-5,21,3
I-5,22,3
I-5,23,9
I-70,0,4
I-70,1,7
I-70,2,12
I-70,3,7
I-70,4,7
I-70,5,2
I-70,6,5
I-70,7,5
I-70,8,3
I-70,9,6
I-70,10,2
I-70,11,2
I-70,12,1
I-70,13,4
I-70,14,2
I-70,15,5
I-70,16,9
I-70,17,5
I-70,18,5
I-70,19,8
I-70,20,8
I-70,21,8
I-70,22,7
I-70,23,7
I-75,0,15
I-75,1,3
I-75,2,7
I-75,3,16
I-75,4,7
I-75,5,11
I-75,6,9
I-75,7,6
I-75,8,5
I-75,9,7
I-75,10,6
I-75,11,5
I-75,12,9
I-75,13,7
I-75,14,8
I-75,15,6
I-75,16,8
I-75,17,7
I-75,18,10
I-75,19,9
I-75,20,12
I-75,21,14
I-75,22,10
I-75,23,7
I-80,0,7
I-80,1,7
I-80,2,5
I-80,3,5
I-80,4,7
I-80,5,3
I-80,6,6
I-80,7,5
I-80,8,6
I-80,9,7
I-80,10,2
I-80,11,9
I-80,12,4
I-80,13,7
I-80,14,6
I-80,15,4
I-80,16,5
I-80,17,7
I-80,18,7
I-80,19,5
I-80,20,3
I-80,21,4
I-80,22,7
I-80,23,2
I-95,0,14
I-95,1,11
I-95,2,12
I-95,3,12
I-95,4,13
I-95,5,10
I-95,6,14
I-95,7,8
I-95,8,2
I-95,9,3
I-95,10,6
I-95,11,8
I-95,12,5
I-95,13,15
I-95,14,8
I-95,15,10
I-95,16,6
I-95,17,6
I-95,18,8
I-95,19,8
I-95,20,6
I-95,21,11
I-95,22,5
I-95,23,12
US-1,0,3
US-1,1,8
US-1,2,5
US-1,3,3
US-1,4,4
US-1,5,8
US-1,6,10
US-1,7,6
US-1,8,3
US-1,9,5
US-1,10,3
US-1,11,6
US-1,12,2
US-1,13,6
US-1,14,11
US-1,15,12
US-1,16,5
US-1,17,6
US-1,18,9
US-1,19,16
US-1,20,15
US-1,21,17
US-1,22,18
US-1,23,9
