state_name,day,drunk_drivers
California,1,99
California,2,98
California,3,103
California,4,91
California,5,106
California,6,92
California,7,106
California,8,98
California,9,95
California,10,111
California,11,103
California,12,111
California,13,115
California,14,124
California,15,112
California,16,99
California,17,126
California,18,123
California,19,101
California,20,101
California,21,105
California,22,80
California,23,86
California,24,102
California,25,108
California,26,122
California,27,99
California,28,92
California,29,80
California,30,78
California,31,57
Florida,1,101
Florida,2,85
Florida,3,94
Florida,4,99
Florida,5,83
Florida,6,79
Florida,7,80
Florida,8,84
Florida,9,92
Florida,10,77
Florida,11,89
Florida,12,109
Florida,13,92
Florida,14,81
Florida,15,69
Florida,16,105
Florida,17,80
Florida,18,97
Florida,19,89
Florida,20,83
Florida,21,84
Florida,22,97
Florida,23,94
Florida,24,89
Florida,25,94
Florida,26,59
Florida,27,93
Florida,28,92
Florida,29,75
Florida,30,87
Florida,31,67
Georgia,1,54
Georgia,2,43
Georgia,3,34
Georgia,4,52
Georgia,5,37
Georgia,6,41
Georgia,7,60
Georgia,8,38
Georgia,9,38
Georgia,10,41
Georgia,11,54
Georgia,12,48
Georgia,13,41
Georgia,14,40
Georgia,15,47
Georgia,16,36
Georgia,17,43
Georgia,18,44
Georgia,19,34
Georgia,20,48
Georgia,21,42
Georgia,22,52
Georgia,23,41
Georgia,24,53
Georgia,25,46
Georgia,26,52
Georgia,27,41
Georgia,28,43
Georgia,29,25
Georgia,30,35
Georgia,31,26
Illinois,1,28
Illinois,2,25
Illinois,3,26
Illinois,4,26
Illinois,5,31
Illinois,6,31
Illinois,7,39
Illinois,8,25
Illinois,9,26
Illinois,10,25
Illinois,11,31
Illinois,12,41
Illinois,13,36
Illinois,14,29
Illinois,15,30
Illinois,16,33
Illinois,17,35
Illinois,18,35
Illinois,19,24
Illinois,20,35
Illinois,21,26
Illinois,22,38
Illinois,23,28
Illinois,24,33
Illinois,25,23
Illinois,26,32
Illinois,27,33
Illinois,28,25
Illinois,29,30
Illinois,30,19
Illinois,31,16
North Carolina,1,39
North Carolina,2,40
North Carolina,3,54
North Carolina,4,55
North Carolina,5,45
North Carolina,6,43
North Carolina,7,38
North Carolina,8,48
North Carolina,9,43
North Carolina,10,47
North Carolina,11,42
North Carolina,12,51
North Carolina,13,46
North Carolina,14,31
North Carolina,15,44
North Carolina,16,33
North Carolina,17,47
North Carolina,18,43
North Carolina,19,36
North Carolina,20,40
North Carolina,21,43
North Carolina,22,41
North Carolina,23,40
North Carolina,24,46
North Carolina,25,29
North Carolina,26,36
North Carolina,27,35
North Carolina,28,43
North Carolina,29,34
North Carolina,30,33
North Carolina,31,30
Ohio,1,35
Ohio,2,35
Ohio,3,28
Ohio,4,26
Ohio,5,33
Ohio,6,39
Ohio,7,38
Ohio,8,28
Ohio,9,35
Ohio,10,32
Ohio,11,37
Ohio,12,39
Ohio,13,40
Ohio,14,40
Ohio,15,32
Ohio,16,46
Ohio,17,34
Ohio,18,27
Ohio,19,37
Ohio,20,27
Ohio,21,33
Ohio,22,45
Ohio,23,22
Ohio,24,37
Ohio,25,28
Ohio,26,31
Ohio,27,41
Ohio,28,36
Ohio,29,22
Ohio,30,30
Ohio,31,16
Pennsylvania,1,26
Pennsylvania,2,41
Pennsylvania,3,35
Pennsylvania,4,42
Pennsylvania,5,36
Pennsylvania,6,36
Pennsylvania,7,32
Pennsylvania,8,40
Pennsylvania,9,41
Pennsylvania,10,44
Pennsylvania,11,44
Pennsylvania,12,34
Pennsylvania,13,37
Pennsylvania,14,30
Pennsylvania,15,43
Pennsylvania,16,41
Pennsylvania,17,33
Pennsylvania,18,43
Pennsylvania,19,36
Pennsylvania,20,37
Pennsylvania,21,34
Pennsylvania,22,31
Pennsylvania,23,34
Pennsylvania,24,31
Pennsylvania,25,46
Pennsylvania,26,25
Pennsylvania,27,42
Pennsylvania,28,28
Pennsylvania,29,33
Pennsylvania,30,31
Pennsylvania,31,16
South Carolina,1,33
South Carolina,2,28
South Carolina,3,28
South Carolina,4,30
South Carolina,5,35
South Carolina,6,38
South Carolina,7,33
South Carolina,8,25
South Carolina,9,40
South Carolina,10,31
South Carolina,11,31
South Carolina,12,29
South Carolina,13,26
South Carolina,14,23
South Carolina,15,30
South Carolina,16,32
South Carolina,17,29
South Carolina,18,20
South Carolina,19,39
South Carolina,20,27
South Carolina,21,32
South Carolina,22,24
South Carolina,23,39
South Carolina,24,26
South Carolina,25,37
South Carolina,26,24
South Carolina,27,26
South Carolina,28,28
South Carolina,29,23
South Carolina,30,29
South Carolina,31,16
Tennessee,1,26
Tennessee,2,36
Tennessee,3,27
Tennessee,4,24
Tennessee,5,34
Tennessee,6,28
Tennessee,7,32
Tennessee,8,33
Tennessee,9,33
Tennessee,10,36
Tennessee,11,24
Tennessee,12,27
Tennessee,13,30
Tennessee,14,36
Tennessee,15,24
Tennessee,16,33
Tennessee,17,30
Tennessee,18,26
Tennessee,19,26
Tennessee,20,30
Tennessee,21,29
Tennessee,22,26
Tennessee,23,25
Tennessee,24,29
Tennessee,25,19
Tennessee,26,33
Tennessee,27,24
Tennessee,28,35
Tennessee,29,36
Tennessee,30,21
Tennessee,31,16
Texas,1,112
Texas,2,93
Texas,3,119
Texas,4,108
Texas,5,108
Texas,6,117
Texas,7,105
Texas,8,101
Texas,9,92
Texas,10,100
Texas,11,121
Texas,12,88
Texas,13,112
Texas,14,101
Texas,15,128
Texas,16,100
Texas,17,102
Texas,18,122
Texas,19,103
Texas,20,103
Texas,21,95
Texas,22,105
Texas,23,105
Texas,24,105
Texas,25,104
Texas,26,112
Texas,27,104
Texas,28,76
Texas,29,84
Texas,30,92
Texas,31,73
